PA,Apartment,Condominium,Executive Condominium,Total
Ang Mo Kio,268,5028,297,5593
Bedok,9110,20168,,29278
Bukit Batok,1598,9645,248,11491
Bukit Merah,1786,9900,,11686
Bukit Panjang,1409,5218,998,7625
Bishan,1374,5339,384,7097
Bukit Timah,3010,15559,,18569
Changi  ,,,,0
Choa Chu Kang,1253,2403,4390,8046
Clementi,1074,8088,,9162
Downtown Core,6823,649,,7472
Geylang,11415,4219,,15634
Hougang,4991,7775,1421,14187
Jurong East,424,2794,280,3498
Jurong West,612,4906,2212,7730
Kallang,6400,7857,,14257
Mandai,53,444,,497
Marine Parade,3752,6267,,10019
Museum,868,187,,1055
Newton,3620,3995,,7615
Novena,9065,5521,,14586
Outram,871,265,,1136
Orchard,1980,227,,2207
Punggol,992,2640,4305,7937
Paya Lebar,9,,,9
Pasir Ris,263,13890,2209,16362
Queenstown,2396,5562,,7958
Rochor,2758,1373,,4131
River Valley,4442,5449,,9891
Sembawang,226,1156,2404,3786
Sengkang,2952,4339,4927,12218
Serangoon,3159,5476,,8635
Southern Islands,,1766,,1766
Sungei Kadut,,,,0
Seletar,,,,0
Singapore River,2995,1752,,4747
Tampines,53,8651,3112,11816
Tanglin,5320,8001,,13321
Toa Payoh,3204,4869,,8073
Woodlands,72,2350,3850,6272
Yishun,1523,4311,2419,8253